Epoch,Train_Acc,Test_Acc,Train_Loss
1,52.656000000000006,51.349999999999994,1.481931147672941
2,65.342,63.370000000000005,1.0976175823632408
3,69.922,67.2,0.8761155954407304
4,76.92,72.43,0.7390196656860659
5,79.96799999999999,74.67,0.6207200274100084
6,85.596,78.36,0.529144115231531
7,87.812,79.7,0.4490484945342669
8,89.696,79.54,0.3795064287188718
9,91.006,79.96,0.3247502685603126
10,90.194,78.58000000000001,0.27746455423781635
11,93.214,80.9,0.24756739673483402
12,95.308,80.73,0.2048482082336379
13,95.422,81.19,0.1769179681296963
14,96.044,81.44,0.16765630549615454
15,95.224,80.76,0.14039281505586393
16,95.516,80.58999999999999,0.12984336362532375
17,98.176,82.36,0.12635384719637807
18,94.746,79.52,0.11502318351786783
19,97.44,81.6,0.11163799976483416
20,97.37599999999999,82.5,0.10270842937800242
21,97.22,81.63,0.09616262116648085
22,96.516,80.81,0.09727363952952425
23,97.57000000000001,81.67,0.09237727591538054
24,98.63199999999999,82.71,0.08338258353769398
25,97.596,81.72,0.08558484599056185
26,97.066,82.07,0.0823444314015186
27,95.434,79.94,0.07711730625115983
28,98.97200000000001,83.76,0.08199941934934339
29,96.852,81.11,0.07479463034810241
30,98.566,82.99,0.07653573329103135
31,97.004,81.92,0.0656660048690353
32,97.13199999999999,81.84,0.0695393010138777
33,97.09,81.72,0.071317438848431
34,97.81,82.89999999999999,0.061982864709160125
35,98.624,83.21,0.06913001777689375
36,98.058,82.23,0.058470109899533086
37,98.77,83.07,0.06450611831935342
38,97.628,82.01,0.0640240178361316
39,98.39,82.93,0.057554427893264246
40,98.628,82.95,0.05779524546716829
41,99.114,83.59,0.05608537566432458
42,98.032,81.95,0.05728894470663279
43,98.36399999999999,82.92,0.06213666602065239
44,99.034,83.74000000000001,0.051216894102728235
45,98.066,82.47,0.04842089380707343
46,98.768,83.07,0.05199823035355991
47,98.828,83.58,0.06455709116311287
48,99.31,83.78999999999999,0.04317605601298525
49,99.098,83.67,0.04814918502300913
50,98.822,84.06,0.05100240976781325
51,98.04,82.5,0.04999316014836857
52,98.712,83.17999999999999,0.04915203359801277
53,98.88,83.32000000000001,0.043938226702943436
54,98.274,82.8,0.054176701680290255
55,98.358,83.25,0.042979124278979985
56,98.554,82.57,0.043878224109026455
57,98.57000000000001,82.66,0.04974497605525755
58,98.896,83.39999999999999,0.048163652944657236
59,98.64,83.50999999999999,0.045872575591925396
60,98.76,83.62,0.044856078406658006
61,99.2,84.15,0.038746695597413415
62,98.604,83.12,0.04268869936810178
63,99.182,83.84,0.0499904260236655
64,99.618,84.44,0.03869193447232002
65,98.958,83.76,0.04376803481810079
66,98.732,83.47,0.04112776654740156
67,98.858,83.42,0.03899206455713293
68,97.584,82.11,0.03976721778686773
69,98.804,83.52000000000001,0.038184478931302265
70,99.316,84.45,0.04193912838265458
71,98.494,82.86,0.03925395438769821
72,99.166,83.94,0.041127974511083035
73,98.592,82.64,0.03315005520102776
74,99.166,83.8,0.04358758952371422
75,98.35199999999999,82.73,0.033972837267356226
76,99.488,84.41,0.04171983714564713
77,98.36,82.67,0.030839650455107965
78,98.392,82.85,0.04303739003958734
79,98.752,82.96,0.03849786162419799
80,98.768,83.61,0.027618748895874328
81,99.22,84.15,0.03752938539458616
82,98.60799999999999,82.94,0.035262936830867196
83,98.782,83.15,0.03964489535841694
84,99.32,83.98,0.030532357009604338
85,99.522,84.19,0.03209806164034413
86,98.53,82.78999999999999,0.037017450970400316
87,99.138,84.00999999999999,0.0387783716308817
88,99.046,83.84,0.02696121000093268
89,99.154,83.82,0.04017248695568956
90,99.236,84.25,0.03138297582152011
91,97.954,82.39999999999999,0.03140138856031026
92,98.784,83.63000000000001,0.0316187005519308
93,99.542,84.5,0.03419302191788024
94,99.03,83.88,0.028651309250125327
95,98.896,83.33,0.034523811110559154
96,98.992,84.08,0.0324840543574229
97,98.78,82.57,0.030751356534706606
98,99.28,84.1,0.03454596955862725
99,98.98599999999999,83.39,0.026690927619622756
100,99.58399999999999,84.98,0.03304698087141121
